,title,company,description,location,jobID,jobType
0,Data Engineer (100% Remote),Techedin,"We have an opening for a Data Engineer in Canada. The position's description is given below. The role provides 100% remote flexibility on a full-time (permanent)/T4 hourly basis; however, candidates must be located in Canada.

Required Skills
• Bachelor’s Degree in Software Engineering or Information Technology
• Solid 7+ years of software development experience.
• Extensive backend experience with Python/Python 3, SQL Alchemy, and MySQL
• Ability to write complex SQL queries.
• Experience working with AWS technologies, e.g., S3, EMR/Spark, and Cloudwatch
• Working experience with big data technology such as Airflow, Hive, and Snowflake
• Ability to document requirements and specifications.
• Excellent analyzing and problem-solving skills.

Apply Now!

Techedin is a global IT Services company complementing the efforts of technology-driven enterprises in developing cutting-edge solutions for humans. We offer services in enterprise app development, content management solutions (CMS customer relationship management (CRM), cloud engineering, custom software development, and data engineering. Our services include IT Consulting, project management, Software Quality Assurance, and data and analytics services. We develop and maintain various software applications and all other computer-related ancillary services. We have excellent professionals working round the clock to build the best technology teams and products for our customers",Canada,LG8eBd2JtvQpDWeZAAAAAA%3D%3D,Full-time
1,Data AI Architect,Royal Bank of Canada,"Job Summary

Job Description

What is the opportunity?

RBC Technology Infrastructure seeks an AI/Data Architect to design, implement, and manage leading AIOps (AI for IT Operations) solutions. You will drive the data strategy for AIOps and be involved in building products from conception to production. By leveraging leading-edge technologies and various data sources, you will design AI- services that will facilitate informed decision-making and business process optimization that will reduce outages and reduce downtime for the RBC services, thus saving significant amounts of money and improving user experience. Passion for data and building next-gen AI products, delighting your users is your ultimate mission.

What will you do?
• Partner with the product manager, technology teams, and various business and operation units to identify opportunities, conduct workshops, and translate them into a data roadmap
• Understand business issues and decompose them into measurable data or AI requirements
• Analyze data from different sources/LOBs and provide key insights and recommendations to integrate with existing platforms or make necessary changes to accommodate new data
• Collaborate with data science and engineering teams to define, design, and execute against the product roadmap that supports the business objectives
• Build and manage data and AI platforms/products to support development, research, and integration requirements
• Drive value articulation and communicate product and service benefits to our users and internal stakeholders
• Research vendors providing AI, MLOps, and AIOps domain-centric solutions, evaluate, conduct POCs, and provide recommendations on integration within the current ecosystem to drive tangible outcomes

What do you need to succeed?

Must-have
• Master’s degree or Ph.D. in a technology/analytical field such as Computer Science, Management of Information Systems, Engineering, or other relevant technology fields
• A minimum of seven years of relevant professional experience in an Agile environment with an excellent understanding of the underlying data and information modeling lifecycle
• Expert knowledge in data architecting, data mining, large-scale data modeling, and business requirements gathering/analysis. Strong familiarity with implementing enterprise data management processes, procedures, and decision support
• Expertise in designing, building, supporting, and maintaining Data Management, Data Warehouse, and/or Date Lake solutions and in estimating the storage, and computing requirements based on the requirements
• Hands-on knowledge of cloud tools, enterprise repository tools, data modeling tools, data mapping tools, and data profiling tools
• Ability to converse with business and technical partners to gather business requirements and translate them into entity relationship planning, data design, and implementation plan
• Experience in building batch and real-time data pipelines to support ML/Deep Learning training and inferencing architecture. Experience with MLOps and or data Ops will be a plus
• Quickly learn new methods, tools, and technologies presented in research communities to implement and adapt within the daily analytics exercises. Exceptional interpersonal, persuasion, and communication skills to communicate strategic and technical ideas to internal audiences to both inform and solicit buy-in from the end-user community

Nice to Have
• Good knowledge of applicable data privacy practices and laws and can represent the team in periodic councils to require approvals and audits
• Exposure to technology and operation data domains
• Exposure to complex ML/Deep Learning modeling techniques
• Familiarity with ITSM, ITOM, Observability, and SRE principles

What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference in our communities, and achieving mutual success.
• A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable
• Leaders who support your development through coaching and managing opportunities
• Ability to make a difference and lasting impact
• Work in a dynamic, collaborative, progressive, and high-performing team
• A world-class training program in financial services
• Flexible work/life balance options
• Opportunities to take on progressively greater accountabilities

#LI-Post

#LI-Hybrid

#TECHPJ

Job Skills
Architectural Modeling, Critical Thinking, Data Architecture, Data Management, Data Modeling Tools, Data Warehousing (DW), Decision Making, Enterprise IT Architecture, Information Technology Consulting, Information Technology Trends, Multi-Level Communication, Physical Database Design

Additional Job Details

Address:

RBC CENTRE, 155 WELLINGTON ST W:TORONTO

City:

TORONTO

Country:

Canada

Work hours/week:

37.5

Employment Type:

Full time

Platform:

Technology and Operations

Job Type:

Regular

Pay Type:

Salaried

Posted Date:

2024-03-14

Application Deadline:

2024-03-25

Inclusion and Equal Opportunity Employment

At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.

Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com","Toronto, ON",mkVzkbSOIy0PUX8mAAAAAA%3D%3D,Full-time
2,Data Entry Coordinator | Remote,ArcMentors,"Only Apply Here: (codeup.click)

Remote Data Entry Project Participants Needed

Opening

Join the wave of remote work with our data entry projects tailored for individuals who thrive in a digital workspace. As a vital part of our Remote Data Entry Crew, your contributions from any remote location will drive our projects forward.

Opportunities On Offer
• Participate in a broad selection of data entry projects, geared for remote execution with occasional local tasks.
• Earn on a flexible schedule by choosing tasks that align with your lifestyle.
• A wide array of payment methods, including PayPal, wire transfers, and e-gift cards, awaits, with added bonuses for regular contributors.

Roles And Responsibilities
• Complete data entry tasks from your remote workspace, in compliance with our stringent guidelines.
• Collaborate with our remote teams for the seamless organization and entry of data.
• Select projects that fit your data entry prowess, ensuring data accuracy and consistency.

What You Need
• Reliable internet and a device with a camera for identity verification are mandatory.
• A passion for data entry or similar fields, with a focus on detail and precision.
• The ability to follow intricate instructions for accurate and efficient data entry.

Why Choose Us
• Be part of diverse data entry projects without the need to commute, directly from your home.
• The flexibility to work at hours that suit you, ideal for those seeking additional remote opportunities.
• Opportunity to enhance your data entry skills with access to various learning materials.
• Stay ahead in the data entry field with early access to new technologies and software.

Position Overview: This role is flexible and predominantly remote, allowing you to integrate work seamlessly into your lifestyle.

Who This Is For: Ideal for anyone in search of a flexible, part-time role in remote data entry. No experience is required, presenting a fantastic avenue to augment your income with online tasks.

Note: This role is aimed at those looking to supplement their home-based income and is not a full-time job.

Only Apply Here: (codeup.click","Calgary, AB",7kVA4Eu7yQeprI1wAAAAAA%3D%3D,Part-time
3,Senior Data Scientist - Insights,Coursera,"Coursera was launched in 2012 by two Stanford Computer Science professors, Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 142 million registered learners as of December 31, 2023.

Coursera partners with over 325 leading university and industry partners to offer a broad catalog of content and credentials, including courses, Specializations, Professional Certificates, Guided Projects, and bachelor’s and master’s degrees. Institutions around the world use Coursera to upskill and reskill their employees, citizens, and students in fields such as data science, technology, and business. Coursera became a B Corp in February 2021.

Join us in our mission to create a world where anyone, anywhere can transform their life through access to education. We're seeking talented individuals who share our passion and drive to revolutionize the way the world learns.

We at Coursera are committed to building a globally diverse team and are thrilled to extend employment opportunities to individuals in any country where we have a legal entity. We require candidates to possess eligible working rights and have a compatible timezone overlap with their team to facilitate seamless collaboration. As a remote-first company, our interviews and onboarding are entirely virtual, providing a smooth and efficient experience for our candidates.

Job Overview:

At Coursera, our Data Science team is helping to build the future of education through data-driven decision making and data-powered products. We drive product and business strategy through measurement, experimentation, and causal inference to help Coursera deliver effective content discovery and personalized learning at scale. We believe the next generation of teaching and learning should be personalized, accessible, and efficient. With our scale, data, technology, and talent, Coursera and its Data Science team are positioned to make that vision a reality.

We’re looking for a talented, creative, and collaborative data scientist to support decision-making for our product and business teams -- leveraging the rich data captured as over a hundred million learners and thousands of instructors engage on the platform to deliver innovative, data-driven insights on how to create experiences that will better meet the needs and expectations of learners. Our ideal candidate has excellent analysis and statistical modeling skills, strong written and verbal communication, and an interest in expanding the reach and quality of online education. In particular, the candidate should thrive as a product-oriented thinker who helps partner teams identify usage patterns and insights from massive datasets, quantify the most critical business opportunities, and measure impacts rigorously with experimentation.

Responsibilities:
• Develop our understanding of Coursera’s products, business, and learners by analyzing learner behavior to uncover patterns, define metrics of success, and identify opportunities for improvement
• Estimate the potential impact of proposed projects in order to inform partner teams’ prioritization decisions (e.g. what is the projected impact on graduation rates of providing career counseling)
• Perform predictive forecasting to quantify the impact of pricing and merchandising changes on long-term revenue.
• Create insightful presentations and actionable dashboards to help product decision-makers size opportunities and evaluate performance
• Work closely with data engineering and operations teams to ensure that new projects and products are launched with clear instrumentation to support experimentation and measurement plans
• Partner with other data scientists to develop evaluation strategies for novel AI models that facilitate teaching and learning at scale

Basic Qualifications:.
• Background in applied math, computer science, statistics, or a related technical field
• 4+ years of experience using data to advise product or business teams
• 2+ years of experience applying statistical inference techniques to business questions
• Excellent business intuition, cross-functional communication, and project management
• Proven track record of influencing to drive impact with data
• Strong applied statistics and data visualization skills
• Proficient with at least one scripting language (e.g. Python), one statistical software package (e.g. R, NumPy/SciPy/Pandas), and SQL

Preferred Qualifications:
• Experience at EdTech or online consumer product business
• Experience partnering with product organizations
• Experience with data management and orchestration tools: Airflow, Databricks and/or dbt
• Experience with business intelligence tools (Amplitude, Looker)

If this opportunity interests you, you might like these courses on Coursera:

Go Beyond the Numbers: Translate Data into Insights
Applied AI with DeepLearning
Probability & Statistics for Machine Learning & Data Science

#PL-1
Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.

For California Candidates, please review our CCPA Applicant Notice here.

For our Global Candidates, please review our GDPR Recruitment Notice here.

#LI-Remote",Canada,VT_hfGMEKBPSIjP0AAAAAA%3D%3D,Full-time
4,Data Analytics Manager (12+ Month Contract),Volkswagen Group Canada Inc.,"It’s more than a Career, it’s a Passion!

We love our cars, but it’s the people behind them who make them what they are. To build great cars, we need great people. That’s why Volkswagen Group Canada pays competitive salaries, offers fringe benefits, and provides unique opportunities for personal and professional growth. We encourage and reward initiative, creativity, teamwork and performance within a fast-paced, stimulating environment. And did we mention that there are really cool Volkswagen and Audi vehicles all over the place?

We are currently looking for a Data Analytics Manager (12+ Month Contract) at our Corporate Offices in Ajax, ON

As the Data Analytics Manager, you will play an integral role in ensuring Volkswagen Canada’s data strategy is effective and efficient to inform, streamline and steer business decisions. You will be responsible for leading and managing the Marketing Data Ecosystem at VW Canada. You will also play a key role in analyzing a wide range of data to help inform marketing, brand and business strategies.

Reporting to the Manager, CRM & Digital Marketing, your expertise in Marketing and Digital data (Web Analytics, CRM, and Digital Media and tagging), Market Research & Trends, Business and Sales data will be required to able to connect the overall data story. You will analyze large amounts of data to create distinct and informative storylines, leading to recommendations and insights. Additionally, this role will lead strategic business and marketing data initiatives and provide high quality data analysis as output. The outputs of these initiatives will help define effective go-to-market strategies, increase ROI and create accountability frameworks (with clear KPI targets) for internal and external partners.
• This is a hybrid flex model, based out of Ajax, ON**

Primary Responsibilities

Customer Insights & Measurement Strategy:
• Collaborate with key stakeholders, leading data analytics development and measurement. Define and deliver our customer insights approach, measurement strategies and reporting capabilities that ultimately drive efficiency
• Work with cross-functional teams (technical & non-technical) to develop consumer journey, and conversion strategies for existing customer and prospect groups. Identify opportunities throughout the consumer journey to increase acquisition, conversion and retention, which will help drive and influence digital advertising (targeting and audience creation), email, social media and website strategies.
• Help develop personalization and audience management strategy across the customer journey.

Data Analysis And Ongoing Customer Data Management
• Own the Omni-channel marketing data platforms. Working cross-functionally with all internal teams and agency partners for data management, data governance, and data strategy.
• Understand technical requirements for digital projects and lead end-to-end analytics implementation (data layer creation, tag deployment, testing, report building)
• Manage complex statistical projects such as Marketing Mix Modeling (MMM), Marketing Return on Investment Analysis (MROI) & Budget optimization analysis that drives ROI across all marketing channels.
• Be part of the team that helps define the Digital Marketing ecosystem/roadmap and delivers a marketing technology stack that is scalable, extendable, and uses 1st party customer data to enhance the consumer journey and drives brand and business growth. Work with key stakeholders to help define an integrated digital analytics and attribution approach.

Research, Reporting And Insights
• Manage research partner relationships to track brand, product and campaign tracking & performance to understand the effectiveness of overall marketing efforts.
• Implement forecasting models & establish a KPI framework to monitor marketing performance & efficiency.
• Support and develop reports & dashboards to measure data from various sources (including but not limited) to Google Analytics, Adobe Analytics, Tag Management, Datorama, Salesforce Marketing Cloud & Service Cloud, Salesforce Einstein, Tableau, Maritz mTab, Kantar KABGS reporting, DesRosiers reports, J.D. Power etc.

Qualifications
• Bachelor degree in Marketing, Business, Commerce, Data Management or similar fields and/or relevant work experience, with a quantitative focus. MBA is an asset.
• 4+ years of data analytics experience, or work experience as a Business, Data or Marketing Analyst (or similar roles)
• Previous experience working with digital analytics platforms (Google Marketing Platform, Adobe Marketing Platform); forecasting analysis and devising KPI frameworks to measure overall marketing effectiveness; and creating dashboards using Tableau, Data Studio, Datorama etc.
• Data management skills in a cloud, retail or e-commerce environment (insights/consulting)
• Strong data analytics expertise, including translating Marketing and business KPIs into actionable plans and strategies that drive growth and ROI
• Experience with data mining tools (e.g. SQL), visualization (e.g. Tableau, Datorama, Data Studio) and digital analytics tools (e.g. GA 360, Adobe Analytics)
• Strong understanding of how Digital & Technology industry trends are influencing data, customer analytics and the consumer journey
• Knowledge of data architecture & connected data strategy as it relates to databases, warehouses and data lakes (structured/unstructured data and relational/non-relational data)
• Knowledge of data as it pertains to Machine Learning, Predictive Analytics, discovery and profiling
• Experience working with Data layer creation, Tag management solutions (GTM) and QA tools such as Omnibug, Adobe Debugger to support web applications, online tools and apps
• Proven track record in developing compelling business storylines and insights based on data trends and analysis
• Strong aptitude to analyze large volumes of data and devise conversion strategies and optimization plans
• Excellent communication, collaboration, and planning skills
• Outstanding team player and positive attitude, with a strong sense of ownership, accountability and the ability to partner with internal and external stakeholders

What You’ll Get In Return
• A flexible and collaborative team dynamic
• Opportunities for development
• Opportunities to participate in exciting company events that give back to the community
• Competitive employer paid benefits and overall compensation package
• And much more!

Interested applicants are asked to submit their application by March 29, 2024

Please note that we appreciate the interest of all candidates, however only those under consideration will be contacted.

Volkswagen Group Canada Inc. is committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, family status, gender identity, gender expression, national origin, age, disability or any other characteristic protected by federal, or local laws.

Volkswagen Group Canada Inc. is committed to providing accommodations for people with disabilities including during the application process. If you require an accommodation because of a disability, we will work with you to determine what reasonable accommodation may be available to meet your needs whether it be as an applicant or an employee. Applicants need to make their needs known in advance. If you are selected for an interview and require an accommodation, you are encouraged to advise the Recruiter who will consult with you to determine an appropriate and reasonable accommodation","Ajax, ON",bLJL231bGlN2xO0WAAAAAA%3D%3D,Contractor
5,Data Entry Clerk,UPS Canada,"Primary Job Posting Location:

Mount Hope, Ontario Canada

Before you apply to a job, select your language preference from the options available at the top right of this page.

Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.

Job Description:

Job Summary
This position enters customs shipment into the UPS system and complete various administrative tasks within the data entry department, pertaining to Canada importation guidelines.

Tuesday to Saturday - 22:30 - 03:30 AM
Responsibilities:
Enters data into UPS systems within time specific guidelines.
Checks and forwards shipment documentation.
Provides administrative support to Management team.

Qualifications:
Excellent communication skills
Accurate typing speed of 40+ words per minute - Excel
Availability to work flexible shift hours and work 5 days a week

UPS is a diverse and equal opportunity employer. Accommodations are available, on request, for candidates with disabilities taking part in the recruitment process. If you are selected to participate in the recruitment process, please advise if you require accommodation for a disability",Ontario,5xNOf2Tk1Zchn2v5AAAAAA%3D%3D,Part-time
6,Bilingual Data Scientist,Canada Mortgage and Housing Corporation (CMHC),"Job Requisition ID: 10008

Position Status: Permanent Full Time

Position Type: Hybrid

Office Location: Montreal (QC); Calgary (AB); Halifax (NS); Ottawa (ON); Toronto (ON); Vancouver (BC)

Travel Requirement: Travel not required

Language Designation: Bilingual

Language Skill Levels (Read/Write/Speak): BBB

Salary: Our salaries generally range from $ 68974.7 to $ 86218.38 and are based on qualifications and experience.

About CMHC

At CMHC, the work you do and the work we do together matters. We come to work every day with a common purpose: to realize a future where everyone in Canada has a home that they can afford and meets their needs.

Our people are second to none. We lean in with courage, band together as a community and try new things to make a lasting impact on housing from coast to coast to coast.

Join us and be part of a team that's committed to making a real difference and be part of something meaningful.

What's in it for you

We've got the purpose, the people and the perks you need for a fulfilling career. Here's what you get when you're a permanent employee:
• 5 weeks of vacation.
• Annual individual performance bonus.
• Defined benefit pension plan.
• Comprehensive group insurance plan to support your well-being from day one.
• Support in your personal and professional growth with training, mentorship and more - because when you thrive, we thrive.
• An inclusive workplace culture and environment with Employee Resource Groups and more.
• A hybrid work model that lets you balance working from home and nurturing in-person connections by coming into your region's office at a minimum of 4 times a month.

About the role
Join the Analytics, Commercial Solutions team as a Bilingual Data Scientist. In this role, you will be responsible for utilizing analytical techniques to solve complex problems, to provide insights and to identify opportunities. In addition to analytic skills, this successful candidate is also proficient at integrating and preparing large, varied datasets and communicating results to leadership and business teams.

What you'll do:
• Conduct data analysis and applies the appropriate algorithm to discover patterns.
• Develop and introduce new approaches to solving analytics problems.
• Research and experiment with various available technologies and tools while making recommendation on new methodologies, techniques or improvements leading to mature the analytical capability of CMHC.
• Work with the Senior Manager and teammates to support the maturity of the analytics capability by introducing analytics approaches (e.g. testing hypothesis, statistical validation, etc.).
• Support knowledge transfer sessions as well as the development of best practices.
• Assess large volumes of data and works towards integrating and preparing large and varied datasets for architecting the data.
• Responsible for modeling analytics problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, and mining techniques.

What you should have:
• A bachelor's degree in Statistics, Mathematics, Computer Science, Economics, Engineering, Physics or any other related quantitative field.
• A minimum of 3 years of work experience as a Data Scientist or similar position including a demonstrated proficiency integrating and preparing large, varied datasets and communicating results.
• Solid programming skills in open-source programming language (e.g. Python) or a statistical software package (e.g. R).
• Proficiency in conducting statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing and optimizing algorithms.
• Experience using a wide range of analytical techniques (e.g. supervised learning, clustering, natural language processing (NLP), time series analysis, A/B testing, regressions, correlations, statistical significance, network/link analysis, sentiment analysis).
• Bilingualism (English and French).

It would be great if you also had:
• Knowledge of the Insurance or Mortgage industry.

Posting closing date: Note, the competition will remain active until filled.

Our commitment to diversity, equity, and inclusion

We're committed to employment equity and encourage women, Indigenous Peoples, persons with disabilities, veterans and persons of all races, ethnicities, religions, abilities, sexual orientations, and gender identities and expressions to apply. We also welcome applications from non-Canadians who are eligible to work in Canada.

CMHC is an inclusive workplace where diversity of thought - and of people - are recognized, valued, and considered essential to achieving our mission.

Learn more about our commitment to diversity and inclusion

What happens after you apply

We know that applying for a new job can be both exciting and daunting, and we appreciate your effort. Learn more about our hiring process. If you are selected for an interview or testing, please advise us if you require an accommodation.

If you applied before and you were not successful don't worry - we're always posting new positions, so don't hesitate to give it another shot. We're excited to see what you bring to the table this time around","Vancouver, BC (+6 others)",wtLxKQIC0DSBWjxjAAAAAA%3D%3D,Full-time
7,Data Entry Clerk Jr / WFH,ArcMentors,"Only Apply Here: (codeup.click)

Virtual Data Processing Opportunities

Introduction

We're inviting enthusiastic individuals to join our remote data processing initiatives. As a key player in our Virtual Data Handling Team, your work from any location will contribute to our collective goals.

What We Provide
• A variety of data processing tasks are available for remote completion, with some requiring a local presence.
• The flexibility to earn based on your availability, selecting tasks that fit within your personal schedule.
• Various payment methods are at your disposal, including PayPal, bank transfers, and e-gift cards, with bonuses for dedicated participants.

Duties
• Engage in data processing tasks from your remote setting, strictly following our detailed protocols.
• Work alongside our virtual teams to ensure data is processed accurately and efficiently.
• Choose tasks that align with your data processing skills, guaranteeing the quality and reliability of the data.

Requirements
• You'll need a stable internet connection and a device with a camera for identity checks.
• A vested interest in data processing or related areas, with a talent for precision and thoroughness.
• The ability to execute tasks based on detailed guidelines for optimal data handling.

Perks Of Joining
• Work on a diverse set of data processing projects from the comfort of your location, avoiding the commute.
• Set your working hours, offering a perfect solution for those seeking additional remote opportunities.
• Enhance your data processing skills with access to educational resources.
• Get early access to the latest in data processing technology and software, keeping you ahead in the field.

Job Configuration: This position is flexible and primarily remote, designed to adapt to your work preferences.

Who Should Apply: Perfect for individuals looking for a flexible, part-time engagement in remote data processing. No prior experience is necessary, making this an excellent opportunity to supplement your income with online tasks.

Important Reminder: This position is crafted for individuals aiming to boost their income from home and is not considered a full-time employment opportunity.

Only Apply Here: (codeup.click","Calgary, AB",1JILW_rrysCRMIxKAAAAAA%3D%3D,Full-time and Part-time
8,Data Engineer (Python SQL),Iris Software Inc.,"Iris's Fortune 100 direct client is looking for Data Engineer (Python SQL). Please find below Job description and share me your updated resume at Saurav.upadhyay@irissoftware.com .

Position: Data Engineer (Python SQL)

Location: Montreal Quebec

Skills: Python , SQL, Django, Flask, Some Devops Experience

Key Responsibilities:
• Work closely with development architects, clients, and business analysts to build efficient solutions leveraging the appropriate technology stack
• Develop services and utilities based on a Python/Shell
• Must be self-driven dedicated individual with strong designing and coding skills
• Ensure a consistent and fast deployment pipeline
• Create tooling to improve developer experience
• Work closely with application teams to understand their needs to improve our systems
• Be in sync with the tools and processes available fi rmwide

Skills Required technical Skills
• Bachelor’s degree in Computer Science, Software Engineering, Information Technology, or related fi eld required
• At least 5+ years of hands-on application development.
• Python, JavaScript, Shell, RESTful WebServices
• RDBMS knowledge (preferably MSSQL/PostgreSQL)
• Observability stack (Prometheus, Loki, Jaeger, Grafana)
• MKS
• A very strong communicator with the ability to interface directly with clients and analysts to ensure technical requirements and delivery align with expectations
• A strong understanding of Agile/Scrum and ability to deliver solutions under this methodology
• Experience in the development of service-oriented architecture application, good understanding of Object-Oriented
• Design and Design Patterns
• Strong analytical and design skills, including the ability to understand business requirements and translate them intoeffi cient and eff ective technical designs that work well within large-scale, well-structured enterprise environments
• Must be comfortable in working in Unix environment and have experience with web servers such as Apache and Tomcat
• Can work independently eff ectively

Desired Technical Skills:
• Knowledge of GIT/Jenkins
• Knowledge of Sonar, Cypress, Fortify and other standard code coverage/testing tools
• Knowledge of automation testing using tools such as: Junit/Mockito, Maven/Gradle
• DevOps and Cloud experience
• Experience in BDD

About Iris Software Inc.

With 4,000+ associates and offices in India, U.S.A. and Canada, Iris Software delivers technology services and solutions that help clients complete fast, far-reaching digital transformations and achieve their business goals. A strategic partner to Fortune 500 and other top companies in financial services and many other industries, Iris provides a value-driven approach - a unique blend of highly-skilled specialists, software engineering expertise, cutting-edge technology, and flexible engagement models. High customer satisfaction has translated into long-standing relationships and preferred-partner status with many of our clients, who rely on our 30+ years of technical and domain expertise to future-proof their enterprises. Associates of Iris work on mission-critical applications supported by a workplace culture that has won numerous awards in the last few years, including Certified Great Place to Work in India; Top 25 GPW in IT & IT-BPM; Ambition Box Best Place to Work, #3 in IT/ITES; and Top Workplace NJ-USA","Montreal, QC",QvePtu-f1gPezqlLAAAAAA%3D%3D,Contractor
9,Data Entry Administrator,UPS Canada,"Primary Job Posting Location:

Mount Hope, Ontario Canada

Before you apply to a job, select your language preference from the options available at the top right of this page.

Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.

Job Description:

Job Summary
This position enters shipment information into the UPS system and complete various administrative tasks within the data entry department, working with customs inspection requests.
Responsibilities:
Enters data into UPS systems within time specific guidelines.
Checks and forwards customs documentation.
Provides administrative support to Management team.

Qualifications:
Excellent communication skills
Accurate typing speed of 40+ words per minute
Availability to work flexible shift hours and work 5 days a week

UPS is a diverse and equal opportunity employer. Accommodations are available, on request, for candidates with disabilities taking part in the recruitment process. If you are selected to participate in the recruitment process, please advise if you require accommodation for a disability",Ontario,snDsws58ftAYT8siAAAAAA%3D%3D,Part-time
