ref_date,geo,dguid,labour_force_characteristics,gender,age_group,statistics,data_type,uom,uom_id,scalar_factor,scalar_id,vector,coordinate,value,decimals
2022-12,Canada,2021A000011124,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062809,1.1.1.1.1.1,32111.8,1
2022-12,Canada,2021A000011124,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062810,1.2.1.1.1.1,21049.6,1
2022-12,Canada,2021A000011124,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062811,1.3.1.1.1.1,19998.5,1
2022-12,Canada,2021A000011124,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062812,1.4.1.1.1.1,16426.8,1
2022-12,Canada,2021A000011124,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062813,1.5.1.1.1.1,3571.7,1
2022-12,Canada,2021A000011124,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062814,1.6.1.1.1.1,1051.1,1
2022-12,Canada,2021A000011124,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2062815,1.7.1.1.1.1,5.0,1
2022-12,Canada,2021A000011124,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2062816,1.8.1.1.1.1,65.6,1
2022-12,Canada,2021A000011124,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2062817,1.9.1.1.1.1,62.3,1
2022-12,Newfoundland and Labrador,2021A000210,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062998,2.1.1.1.1.1,455.6,1
2022-12,Newfoundland and Labrador,2021A000210,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062999,2.2.1.1.1.1,265.4,1
2022-12,Newfoundland and Labrador,2021A000210,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063000,2.3.1.1.1.1,239.8,1
2022-12,Newfoundland and Labrador,2021A000210,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063001,2.4.1.1.1.1,202.9,1
2022-12,Newfoundland and Labrador,2021A000210,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063002,2.5.1.1.1.1,36.9,1
2022-12,Newfoundland and Labrador,2021A000210,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063003,2.6.1.1.1.1,25.6,1
2022-12,Newfoundland and Labrador,2021A000210,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063004,2.7.1.1.1.1,9.6,1
2022-12,Newfoundland and Labrador,2021A000210,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063005,2.8.1.1.1.1,58.3,1
2022-12,Newfoundland and Labrador,2021A000210,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063006,2.9.1.1.1.1,52.6,1
2022-12,Prince Edward Island,2021A000211,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063187,3.1.1.1.1.1,141.5,1
2022-12,Prince Edward Island,2021A000211,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063188,3.2.1.1.1.1,89.1,1
2022-12,Prince Edward Island,2021A000211,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063189,3.3.1.1.1.1,84.1,1
2022-12,Prince Edward Island,2021A000211,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063190,3.4.1.1.1.1,70.7,1
2022-12,Prince Edward Island,2021A000211,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063191,3.5.1.1.1.1,13.3,1
2022-12,Prince Edward Island,2021A000211,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063192,3.6.1.1.1.1,5.1,1
2022-12,Prince Edward Island,2021A000211,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063193,3.7.1.1.1.1,5.7,1
2022-12,Prince Edward Island,2021A000211,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063194,3.8.1.1.1.1,63.0,1
