Code,Occupation Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
0,All Occupations,20170900,20504200,20889800,21227500,21474700,21696400,21908500,22117100,22332300,22546900,22760800
TEER_0,TEER 0: Management occupations,1985100,2005800,2042100,2070900,2089300,2105900,2121200,2136000,2151700,2167500,2182500
TEER_1,TEER 1: Occupations usually require a university degree,4552000,4665100,4739000,4824600,4901000,4974300,5044900,5115100,5187400,5259700,5334400
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,4855300,4947400,5049400,5143200,5212600,5275300,5336200,5397200,5458500,5520300,5581600
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,3062600,3121800,3183300,3237500,3277900,3315600,3351600,3386000,3422200,3458200,3493700
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,3071200,3100300,3154100,3193100,3213900,3229000,3241000,3252000,3263600,3274700,3284400
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,2644800,2663700,2721900,2758300,2779900,2796400,2813600,2830800,2848900,2866500,2884200
NOC1_0,Management occupations,65400,67600,68500,68700,69400,69800,70300,70700,71100,71600,72000
NOC1_1,"Business, finance and administration occupations",3629100,3700300,3761200,3819500,3864500,3904300,3939800,3974400,4010600,4046800,4082000
NOC1_2,"Natural and applied sciences and related occupations, except management",1929200,1979300,2008200,2043500,2076600,2107000,2136600,2164500,2194700,2224300,2255300
NOC1_3,"Health occupations, except management",1616300,1648800,1688900,1737000,1781200,1827400,1873400,1921800,1968600,2016400,2066800
NOC1_4,"Occupations in education, law and social, community and government services, except management",2483200,2567400,2614100,2657700,2687600,2716500,2744800,2773600,2803600,2832900,2863000
NOC1_5,"Occupations in art, culture, recreation and sport, except management",654800,672600,682000,690300,698100,705300,712400,720000,727300,734600,741700
NOC1_6,"Sales and service occupations, except management",4953500,4974600,5071600,5139400,5174500,5203700,5232000,5260100,5287400,5314900,5340500
NOC1_7,"Trades, transport and equipment operators and related occupations, except management",3373800,3442800,3513300,3570600,3609100,3642000,3674200,3705100,3737400,3769000,3798200
NOC1_8,"Natural resources, agriculture and related production occupations, except management",498200,481400,499200,506300,510000,511500,512900,512500,514300,516400,518200
NOC1_9,"Occupations in manufacturing and utilities, except management",967600,969400,982800,994500,1003600,1008900,1012000,1014400,1017300,1020100,1023100
10,Legislators,4700,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000
11,Senior government managers and officials,6300,6600,6700,6700,6700,6600,6600,6500,6500,6500,6400
12,"Senior managers - financial, communications and other business services",52900,54700,55400,55500,56200,56600,57100,57600,58000,58500,59000
13,"Senior managers - health, education, social and community services and membership organizations",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,"Senior managers - trade, broadcasting and other services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,"Senior managers - construction, transportation, production and utilities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,78000,79800,80500,81800,82300,83200,83800,84500,85100,85900,86500
10011,Human resources managers,54400,56700,57300,58200,58900,59400,59900,60500,60800,61400,62000
10012,Purchasing managers,20000,20500,21000,21300,21600,21800,22000,22100,22400,22600,22800
10019,Other administrative services managers,11600,12300,11800,11900,11800,11800,11700,11700,11800,11800,11900
10020,"Insurance, real estate and financial brokerage managers",45100,45700,46500,47200,47900,48400,48800,49200,49500,49800,50100
10021,"Banking, credit and other investment managers",71000,70200,72100,73700,75100,76300,77200,78000,78800,79500,80100
10022,"Advertising, marketing and public relations managers",53300,54300,55100,55800,56600,57400,58200,58900,59900,60800,61800
10029,Other business services managers,19800,20700,20600,21100,21500,22000,22400,22900,23400,23900,24300
10030,Telecommunication carriers managers,11000,11100,11200,11200,11200,11200,11200,11200,11200,11200,11100
11100,Financial auditors and accountants,247300,251400,253400,256400,258800,260300,261300,262600,263700,265100,266500
11101,Financial and investment analysts,77000,79700,81100,82700,83800,84900,85600,86200,87000,87600,88300
11102,Financial advisors,118800,120000,120200,121900,124900,127300,129000,131600,133000,134700,136400
11103,"Securities agents, investment dealers and brokers",26200,26600,27100,27500,27800,28100,28200,28400,28500,28700,28800
