Code,Occupation_Name,Recent_Labour_Market_Conditions
0,All Occupations,N/A
TEER_0,TEER 0: Management occupations,N/A
TEER_1,TEER 1: Occupations usually require a university degree,N/A
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,N/A
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,N/A
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,N/A
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,N/A
NOC1_0,Management occupations,N/A
NOC1_1,"Business, finance and administration occupations",N/A
NOC1_2,"Natural and applied sciences and related occupations, except management",N/A
NOC1_3,"Health occupations, except management",N/A
NOC1_4,"Occupations in education, law and social, community and government services, except management",N/A
NOC1_5,"Occupations in art, culture, recreation and sport, except management",N/A
NOC1_6,"Sales and service occupations, except management",N/A
NOC1_7,"Trades, transport and equipment operators and related occupations, except management",N/A
NOC1_8,"Natural resources, agriculture and related production occupations, except management",N/A
NOC1_9,"Occupations in manufacturing and utilities, except management",N/A
10,Legislators,Balance
11,Senior government managers and officials,Balance
12,"Senior managers - financial, communications and other business services",Balance
13,"Senior managers - health, education, social and community services and membership organizations",N/A
14,"Senior managers - trade, broadcasting and other services",N/A
15,"Senior managers - construction, transportation, production and utilities",N/A
10010,Financial managers,Balance
10011,Human resources managers,Balance
10012,Purchasing managers,Balance
10019,Other administrative services managers,Balance
10020,"Insurance, real estate and financial brokerage managers",Balance
10021,"Banking, credit and other investment managers",Balance
10022,"Advertising, marketing and public relations managers",Balance
10029,Other business services managers,Balance
10030,Telecommunication carriers managers,Balance
11100,Financial auditors and accountants,Balance
11101,Financial and investment analysts,Balance
11102,Financial advisors,Balance
11103,"Securities agents, investment dealers and brokers",Balance
11109,Other financial officers,Balance
11200,Human resources professionals,Balance
11201,Professional occupations in business management consulting,Balance
11202,"Professional occupations in advertising, marketing and public relations",Balance
12010,"Supervisors, general office and administrative support workers",Balance
12011,"Supervisors, finance and insurance office workers",Balance
12012,"Supervisors, library, correspondence and related information workers",Balance
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",Balance
12100,Executive assistants,Balance
12101,Human resources and recruitment officers,Balance
12102,Procurement and purchasing agents and officers,Balance
12103,Conference and event planners,Balance
12104,Employment insurance and revenue officers,Balance
12110,"Court reporters, medical transcriptionists and related occupations",Balance
12111,Health information management occupations,Balance
12112,Records management technicians,Balance
12113,Statistical officers and related research support occupations,Balance
12200,Accounting technicians and bookkeepers,Balance
12201,Insurance adjusters and claims examiners,Balance
12202,Insurance underwriters,Balance
12203,"Assessors, business valuators and appraisers",Balance
13100,Administrative officers,Balance
13101,Property administrators,Balance
13102,Payroll administrators,Balance
13110,Administrative assistants,Balance
13111,Legal administrative assistants,Balance
13112,Medical administrative assistants,Balance
13200,"Customs, ship and other brokers",Balance
13201,Production and transportation logistics coordinators,Balance
14100,General office support workers,Balance
14101,Receptionists,Balance
14102,Personnel clerks,Balance
14103,Court clerks and related court services occupations,Balance
