code,occupation_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,20170900.0,20504200.0,20889800.0,21227500.0,21474700.0,21696400.0,21908500.0,22117100.0,22332300.0,22546900.0,22760800.0
TEER_0,TEER 0: Management occupations,1985100.0,2005800.0,2042100.0,2070900.0,2089300.0,2105900.0,2121200.0,2136000.0,2151700.0,2167500.0,2182500.0
TEER_1,TEER 1: Occupations usually require a university degree,4552000.0,4665100.0,4739000.0,4824600.0,4901000.0,4974300.0,5044900.0,5115100.0,5187400.0,5259700.0,5334400.0
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,4855300.0,4947400.0,5049400.0,5143200.0,5212600.0,5275300.0,5336200.0,5397200.0,5458500.0,5520300.0,5581600.0
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,3062600.0,3121800.0,3183300.0,3237500.0,3277900.0,3315600.0,3351600.0,3386000.0,3422200.0,3458200.0,3493700.0
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,3071200.0,3100300.0,3154100.0,3193100.0,3213900.0,3229000.0,3241000.0,3252000.0,3263600.0,3274700.0,3284400.0
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,2644800.0,2663700.0,2721900.0,2758300.0,2779900.0,2796400.0,2813600.0,2830800.0,2848900.0,2866500.0,2884200.0
NOC1_0,Management occupations,65400.0,67600.0,68500.0,68700.0,69400.0,69800.0,70300.0,70700.0,71100.0,71600.0,72000.0
NOC1_1,"Business, finance and administration occupations",3629100.0,3700300.0,3761200.0,3819500.0,3864500.0,3904300.0,3939800.0,3974400.0,4010600.0,4046800.0,4082000.0
NOC1_2,"Natural and applied sciences and related occupations, except management",1929200.0,1979300.0,2008200.0,2043500.0,2076600.0,2107000.0,2136600.0,2164500.0,2194700.0,2224300.0,2255300.0
NOC1_3,"Health occupations, except management",1616300.0,1648800.0,1688900.0,1737000.0,1781200.0,1827400.0,1873400.0,1921800.0,1968600.0,2016400.0,2066800.0
NOC1_4,"Occupations in education, law and social, community and government services, except management",2483200.0,2567400.0,2614100.0,2657700.0,2687600.0,2716500.0,2744800.0,2773600.0,2803600.0,2832900.0,2863000.0
NOC1_5,"Occupations in art, culture, recreation and sport, except management",654800.0,672600.0,682000.0,690300.0,698100.0,705300.0,712400.0,720000.0,727300.0,734600.0,741700.0
NOC1_6,"Sales and service occupations, except management",4953500.0,4974600.0,5071600.0,5139400.0,5174500.0,5203700.0,5232000.0,5260100.0,5287400.0,5314900.0,5340500.0
NOC1_7,"Trades, transport and equipment operators and related occupations, except management",3373800.0,3442800.0,3513300.0,3570600.0,3609100.0,3642000.0,3674200.0,3705100.0,3737400.0,3769000.0,3798200.0
NOC1_8,"Natural resources, agriculture and related production occupations, except management",498200.0,481400.0,499200.0,506300.0,510000.0,511500.0,512900.0,512500.0,514300.0,516400.0,518200.0
NOC1_9,"Occupations in manufacturing and utilities, except management",967600.0,969400.0,982800.0,994500.0,1003600.0,1008900.0,1012000.0,1014400.0,1017300.0,1020100.0,1023100.0
00010,Legislators,4700.0,4900.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
00011,Senior government managers and officials,6300.0,6600.0,6700.0,6700.0,6700.0,6600.0,6600.0,6500.0,6500.0,6500.0,6400.0
00012,"Senior managers - financial, communications and other business services",52900.0,54700.0,55400.0,55500.0,56200.0,56600.0,57100.0,57600.0,58000.0,58500.0,59000.0
